phase	config	request	cache_state	prompt_or_continuation_tokens	prefill_ms	generated_tokens	generation_ms	decode_tok_s	tool_outcome	notes
short-context	q8-262k-pin8-debug	story-1	prefix-hit	18-continuation-plus-31-prefix	1427	632	23309	27.11	text	positions-about-49-to-680
short-context	q8-262k-pin8-debug	story-2	prefix-hit	29-continuation-plus-31-prefix	1287	633	24177	26.18	text	positions-about-60-to-692
original-opencode	q8-262k-pin8-debug	chatcmpl-6	prefix-miss	14984-total	581386	62	7291	8.50	parsed-tool	pread-profiler-and-http-debug-enabled
original-opencode	q8-262k-pin8-debug	chatcmpl-11	prefix-hit	1393	118085	55	6369	8.64	parsed-tool	decode-start-about-position-15972
original-opencode	q8-262k-pin8-debug	chatcmpl-12	prefix-hit	1476	124329	56	6489	8.63	parsed-tool	decode-start-about-position-16055
window-kv	q8-64k-pin-auto	chatcmpl-11-first	prefix-disk-hit	1393	128931	55	9814	5.60	parsed-tool	cold-explicit-pin-cache
window-kv	q8-64k-pin-auto	chatcmpl-11-repeat	prefix-memory-hit	1393	146523	55	5599	9.82	parsed-tool	pin-warm
window-kv	q8-262k-pin8	chatcmpl-11-first	prefix-memory-hit	1393	114464	36	4287	8.40	parsed-tool	clean-diagnostics
window-kv	q8-262k-pin8	chatcmpl-11-repeat	prefix-memory-hit	1393	114143	36	3637	9.90	parsed-tool	pin-warm-clean-diagnostics
window-kv	fp32-64k-pin-auto	chatcmpl-11-first	prefix-miss	15972-total	690622	128	17922	7.14	unclosed-at-cap	full-prefix-cache-rebuild
window-kv	fp32-64k-pin-auto	chatcmpl-11-repeat	prefix-memory-hit	1393	114467	128	17141	7.47	unclosed-at-cap	pin-warm
pin-sizing	q8-262k-pin4	chatcmpl-6-warmup	prefix-disk-hit	405	44162	59	10784	5.47	parsed-tool	4095.6MiB-2427-slots
pin-sizing	q8-262k-pin4	chatcmpl-11	prefix-memory-hit	1393	156022	36	6516	5.52	parsed-tool	72.7pct-aggregate-hits
pin-sizing	q8-262k-pin4	chatcmpl-12	prefix-memory-hit	1476	168530	128	22941	5.58	unclosed-at-cap	6920-aggregate-evictions
pin-sizing	q8-262k-cap12-resolved9.13	chatcmpl-6-warmup	prefix-disk-hit	405	36994	59	7793	7.57	parsed-tool	9348.8MiB-5540-slots
pin-sizing	q8-262k-cap12-resolved9.13	chatcmpl-11	prefix-memory-hit	1393	130107	36	4424	8.14	parsed-tool	89.8pct-aggregate-hits
pin-sizing	q8-262k-cap12-resolved9.13	chatcmpl-12	prefix-memory-hit	1476	137205	128	15286	8.37	unclosed-at-cap	1840-aggregate-evictions
