case	pair	path	cache_hit	system_bytes	system_tokens	prompt_tokens	prepare_ms	validate_ms	total_ms
small_prefix_hit	1	before	-1	123	31	60	0.041291	0.000000	0.041291
small_prefix_hit	1	exp28	1	123	31	60	0.014416	0.000000	0.014416
small_prefix_hit	2	before	-1	123	31	60	0.036875	0.000000	0.036875
small_prefix_hit	2	exp28	1	123	31	60	0.010375	0.000000	0.010375
small_prefix_hit	3	before	-1	123	31	60	0.034792	0.000000	0.034792
small_prefix_hit	3	exp28	1	123	31	60	0.009042	0.000000	0.009042
small_prefix_hit	4	before	-1	123	31	60	0.034625	0.000041	0.034666
small_prefix_hit	4	exp28	1	123	31	60	0.010208	0.000000	0.010208
small_prefix_hit	5	before	-1	123	31	60	0.034625	0.000000	0.034625
small_prefix_hit	5	exp28	1	123	31	60	0.009083	0.000000	0.009083
small_prefix_hit	6	before	-1	123	31	60	0.034291	0.000000	0.034291
small_prefix_hit	6	exp28	1	123	31	60	0.009000	0.000000	0.009000
small_prefix_hit	7	before	-1	123	31	60	0.041542	0.000000	0.041542
small_prefix_hit	7	exp28	1	123	31	60	0.008958	0.000000	0.008958
small_prefix_hit	8	before	-1	123	31	60	0.034458	0.000000	0.034458
small_prefix_hit	8	exp28	1	123	31	60	0.009583	0.000000	0.009583
small_prefix_hit	9	before	-1	123	31	60	0.037334	0.000000	0.037334
small_prefix_hit	9	exp28	1	123	31	60	0.008666	0.000000	0.008666
small_prefix_hit	10	before	-1	123	31	60	0.035291	0.000000	0.035291
small_prefix_hit	10	exp28	1	123	31	60	0.008750	0.000000	0.008750
small_prefix_hit	11	before	-1	123	31	60	0.034125	0.000000	0.034125
small_prefix_hit	11	exp28	1	123	31	60	0.009792	0.000042	0.009834
small_prefix_hit	12	before	-1	123	31	60	0.034209	0.000041	0.034250
small_prefix_hit	12	exp28	1	123	31	60	0.008834	0.000000	0.008834
small_prefix_hit	13	before	-1	123	31	60	0.034167	0.000000	0.034167
small_prefix_hit	13	exp28	1	123	31	60	0.008708	0.000000	0.008708
small_prefix_hit	14	before	-1	123	31	60	0.034000	0.000042	0.034042
small_prefix_hit	14	exp28	1	123	31	60	0.008625	0.000000	0.008625
small_prefix_hit	15	before	-1	123	31	60	0.034083	0.000042	0.034125
small_prefix_hit	15	exp28	1	123	31	60	0.008541	0.000042	0.008583
small_prefix_hit	16	before	-1	123	31	60	0.034209	0.000000	0.034209
small_prefix_hit	16	exp28	1	123	31	60	0.008583	0.000000	0.008583
small_prefix_hit	17	before	-1	123	31	60	0.034167	0.000042	0.034209
small_prefix_hit	17	exp28	1	123	31	60	0.008667	0.000000	0.008667
small_prefix_hit	18	before	-1	123	31	60	0.034291	0.000000	0.034291
small_prefix_hit	18	exp28	1	123	31	60	0.008583	0.000000	0.008583
small_prefix_hit	19	before	-1	123	31	60	0.034125	0.000000	0.034125
small_prefix_hit	19	exp28	1	123	31	60	0.008625	0.000042	0.008667
small_prefix_hit	20	before	-1	123	31	60	0.034208	0.000042	0.034250
small_prefix_hit	20	exp28	1	123	31	60	0.008666	0.000000	0.008666
# small_prefix_hit: before=0.034 ms exp28=0.009 ms paired_saving=0.026 ms saving_p10_p90=[0.024,0.027] ms change=-74.4% hits=20/20
24_tools_hit	1	before	-1	26248	5465	5494	3.936209	0.009083	3.945292
24_tools_hit	1	exp28	1	26248	5465	5494	0.034125	0.003916	0.038041
24_tools_hit	2	before	-1	26248	5465	5494	3.919583	0.006542	3.926125
24_tools_hit	2	exp28	1	26248	5465	5494	0.030459	0.003416	0.033875
24_tools_hit	3	before	-1	26248	5465	5494	4.044083	0.016042	4.060125
24_tools_hit	3	exp28	1	26248	5465	5494	0.036208	0.004959	0.041167
24_tools_hit	4	before	-1	26248	5465	5494	3.918833	0.008417	3.927250
24_tools_hit	4	exp28	1	26248	5465	5494	0.032458	0.004125	0.036583
24_tools_hit	5	before	-1	26248	5465	5494	3.922000	0.007167	3.929167
24_tools_hit	5	exp28	1	26248	5465	5494	0.030791	0.003250	0.034041
24_tools_hit	6	before	-1	26248	5465	5494	3.953500	0.014916	3.968416
24_tools_hit	6	exp28	1	26248	5465	5494	0.030333	0.003333	0.033666
